# Lambda_15(1^10) feasible distributions with C <= 2050
# Format: C, a (ball-14), b (ball-15), d (ball-16)
# Total: 1242 combinations

2043,15,131,1897
2043,16,129,1898
2043,17,127,1899
2043,18,125,1900
2043,19,123,1901
2043,20,121,1902
2043,21,119,1903
2043,22,117,1904
2043,23,115,1905
2043,24,113,1906
2043,25,111,1907
2043,26,109,1908
2043,27,107,1909
2043,28,105,1910
2043,29,103,1911
2043,30,101,1912
2043,31,99,1913
2043,32,97,1914
2043,33,95,1915
2043,34,93,1916
2043,35,91,1917
2043,36,89,1918
2043,37,87,1919
2043,38,85,1920
2043,39,83,1921
2043,40,81,1922
2043,41,79,1923
2043,42,77,1924
2043,43,75,1925
2043,44,73,1926
2043,45,71,1927
2043,46,69,1928
2043,47,67,1929
2043,48,65,1930
2043,49,63,1931
2043,50,61,1932
2043,51,59,1933
2043,52,57,1934
2043,53,55,1935
2043,54,53,1936
2043,55,51,1937
2043,56,49,1938
2043,57,47,1939
2043,58,45,1940
2043,59,43,1941
2043,60,41,1942
2043,61,39,1943
2043,62,37,1944
2043,63,35,1945
2043,64,33,1946
2043,65,31,1947
2043,66,29,1948
2043,67,27,1949
2043,68,25,1950
2043,69,23,1951
2043,70,21,1952
2043,71,19,1953
2043,72,17,1954
2043,73,15,1955
2043,74,13,1956
2043,75,11,1957
2043,76,9,1958
2043,77,7,1959
2043,78,5,1960
2043,79,3,1961
2043,80,1,1962
2044,0,177,1867
2044,1,175,1868
2044,2,173,1869
2044,3,171,1870
2044,4,169,1871
2044,5,167,1872
2044,6,165,1873
2044,7,163,1874
2044,8,161,1875
2044,9,159,1876
2044,10,157,1877
2044,11,155,1878
2044,12,153,1879
2044,13,151,1880
2044,14,149,1881
2044,15,147,1882
2044,16,145,1883
2044,17,143,1884
2044,18,141,1885
2044,19,139,1886
2044,20,137,1887
2044,21,135,1888
2044,22,133,1889
2044,23,131,1890
2044,24,129,1891
2044,25,127,1892
2044,26,125,1893
2044,27,123,1894
2044,28,121,1895
2044,29,119,1896
2044,30,117,1897
2044,31,115,1898
2044,32,113,1899
2044,33,111,1900
2044,34,109,1901
2044,35,107,1902
2044,36,105,1903
2044,37,103,1904
2044,38,101,1905
2044,39,99,1906
2044,40,97,1907
2044,41,95,1908
2044,42,93,1909
2044,43,91,1910
2044,44,89,1911
2044,45,87,1912
2044,46,85,1913
2044,47,83,1914
2044,48,81,1915
2044,49,79,1916
2044,50,77,1917
2044,51,75,1918
2044,52,73,1919
2044,53,71,1920
2044,54,69,1921
2044,55,67,1922
2044,56,65,1923
2044,57,63,1924
2044,58,61,1925
2044,59,59,1926
2044,60,57,1927
2044,61,55,1928
2044,62,53,1929
2044,63,51,1930
2044,64,49,1931
2044,65,47,1932
2044,66,45,1933
